Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10273420,1,"Wednesday, July 20, 2011 21:12:11 UTC",60.1741,-141.0177,1.3,15.20,11,"Southern Alaska"
nc,71604580,1,"Wednesday, July 20, 2011 21:10:17 UTC",38.8173,-122.8292,1.9,2.50,34,"Northern California"
ak,10273414,1,"Wednesday, July 20, 2011 21:07:11 UTC",60.4881,-151.1760,1.4,16.20,12,"Kenai Peninsula, Alaska"
nc,71604575,4,"Wednesday, July 20, 2011 21:06:55 UTC",37.5055,-122.4042,1.8,0.00,26,"San Francisco Bay area, California"
ak,10273410,2,"Wednesday, July 20, 2011 20:54:29 UTC",59.8675,-153.4443,2.0,127.10,19,"Southern Alaska"
uw,07202021,1,"Wednesday, July 20, 2011 20:21:35 UTC",48.5989,-123.0240,1.4,13.00,10,"San Juan Islands region, Washington"
pr,11201007,0,"Wednesday, July 20, 2011 20:10:38 UTC",19.2329,-67.3899,3.2,46.70, 5,"Puerto Rico region"
nc,71604540,3,"Wednesday, July 20, 2011 20:08:13 UTC",35.5700,-120.8255,1.2,5.90,38,"Central California"
ci,15021340,0,"Wednesday, July 20, 2011 19:58:23 UTC",34.3877,-117.6363,2.2,25.60,18,"Southern California"
ak,10273379,2,"Wednesday, July 20, 2011 19:56:57 UTC",60.6818,-150.1993,2.8,42.30,64,"Kenai Peninsula, Alaska"
ci,15021332,0,"Wednesday, July 20, 2011 19:54:48 UTC",34.7302,-117.7290,2.0,8.30,17,"Southern California"
hv,60248846,1,"Wednesday, July 20, 2011 19:39:43 UTC",19.8235,-155.8103,2.2,39.70,12,"Island of Hawaii, Hawaii"
ak,10273373,2,"Wednesday, July 20, 2011 19:37:52 UTC",62.0630,-151.8183,1.4,90.40,22,"Central Alaska"
nc,71604525,2,"Wednesday, July 20, 2011 19:29:58 UTC",37.6378,-119.3708,1.5,13.60,16,"Central California"
nc,71604520,0,"Wednesday, July 20, 2011 19:29:33 UTC",39.7968,-122.5487,1.9,9.00, 6,"Northern California"
us,2011npba,4,"Wednesday, July 20, 2011 19:18:14 UTC",27.2481,128.2274,5.4,51.00,96,"Ryukyu Islands, Japan"
ak,10273336,2,"Wednesday, July 20, 2011 18:50:15 UTC",59.6480,-152.2782,1.7,71.60,12,"Southern Alaska"
ak,10273330,1,"Wednesday, July 20, 2011 18:36:07 UTC",61.6221,-146.4391,1.8,21.40,23,"Southern Alaska"
ak,10273326,2,"Wednesday, July 20, 2011 18:32:18 UTC",58.2919,-154.9955,2.3,1.00,21,"Alaska Peninsula"
ak,10273241,2,"Wednesday, July 20, 2011 17:30:20 UTC",51.3989,-175.5968,2.3,49.90,10,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15021220,0,"Wednesday, July 20, 2011 17:20:15 UTC",33.0463,-116.4042,1.6,12.90,50,"Southern California"
ci,15021212,0,"Wednesday, July 20, 2011 17:04:47 UTC",33.9955,-117.0650,1.3,13.70,53,"Greater Los Angeles area, California"
ak,10273209,1,"Wednesday, July 20, 2011 16:51:37 UTC",61.5629,-146.4947,1.6,27.50,15,"Southern Alaska"
nc,71604470,2,"Wednesday, July 20, 2011 16:37:51 UTC",36.6543,-121.2732,1.3,6.50,26,"Central California"
nc,71604465,3,"Wednesday, July 20, 2011 16:32:52 UTC",36.6527,-121.2727,1.8,5.90,45,"Central California"
ci,15021188,0,"Wednesday, July 20, 2011 16:06:04 UTC",33.4718,-116.3123,1.8,3.50,17,"Southern California"
ci,15021164,1,"Wednesday, July 20, 2011 16:04:12 UTC",33.8507,-117.4892,1.4,1.70,45,"Greater Los Angeles area, California"
ci,10190770,2,"Wednesday, July 20, 2011 15:57:51 UTC",36.2303,-114.6453,2.5,6.00, 5,"Nevada"
us,b0004ysu,A,"Wednesday, July 20, 2011 15:51:30 UTC",7.0924,-82.3070,5.4,20.10,324,"south of Panama"
ak,10273183,2,"Wednesday, July 20, 2011 15:50:05 UTC",63.2410,-151.4399,1.0,7.70,11,"Central Alaska"
ci,15021140,0,"Wednesday, July 20, 2011 15:19:40 UTC",33.4047,-116.3937,1.2,7.80,59,"Southern California"
ak,10273163,1,"Wednesday, July 20, 2011 15:17:19 UTC",56.9182,-155.2532,2.8,15.30,12,"Alaska Peninsula"
us,2011npa7,3,"Wednesday, July 20, 2011 15:02:12 UTC",-5.0192,130.6385,4.2,71.70,11,"Banda Sea"
nn,00343465,8,"Wednesday, July 20, 2011 15:01:00 UTC",37.4290,-117.1107,1.2,13.20, 6,"Nevada"
ci,15021132,3,"Wednesday, July 20, 2011 14:26:31 UTC",36.0975,-114.6322,2.0,6.00, 5,"Arizona"
ak,10273150,1,"Wednesday, July 20, 2011 14:22:36 UTC",60.5276,-147.5269,2.4,0.10,31,"Southern Alaska"
uw,07201412,1,"Wednesday, July 20, 2011 14:12:37 UTC",47.7470,-122.5501,2.8,25.30,63,"Seattle-Tacoma urban area, Washington"
ak,10273144,1,"Wednesday, July 20, 2011 13:55:28 UTC",60.0755,-141.5384,1.6,1.70,12,"Southern Alaska"
us,2011npa5,5,"Wednesday, July 20, 2011 13:27:43 UTC",49.3691,156.5793,4.4,59.80,37,"Kuril Islands"
nc,71604375,0,"Wednesday, July 20, 2011 13:21:15 UTC",38.8372,-122.8268,1.0,2.60,21,"Northern California"
nc,71604370,0,"Wednesday, July 20, 2011 13:20:21 UTC",37.9490,-122.0547,1.0,10.40,10,"San Francisco Bay area, California"
ci,15021124,0,"Wednesday, July 20, 2011 13:20:05 UTC",32.6705,-115.7427,2.2,4.30,44,"Southern California"
